温度	温度	温度	temperature	temperature	temperature	19108
治療	治療	治療	treatment	treatment	treatment	17442
結果	結果	結果	results	results	result	16351
エネルギー	エネルギー	エネルギー	energy	energy	energy	14627
制御	制御	制御	control	control	control	14365
時間	時間	時間	time	time	time	11910
診断	診断	診断	diagnosis	diagnosis	diagnosis	11573
患者	患者	患者	patients	patients	patient	11033
研究	研究	研究	research	research	research	10524
分布	分布	分布	distribution	distribution	distribution	10259
変化	変化	変化	change	change	change	10168
試験	試験	試験	test	test	test	9911
遺伝子	遺伝子	遺伝子	gene	gene	gene	9716
反応	反応	反応	reaction	reaction	reaction	8979
環境	環境	環境	environment	environment	environment	8416
機構	機構	機構	mechanism	mechanism	mechanism	8061
問題	問題	問題	problem	problem	problem	7815
領域	領域	領域	region	region	region	7553
装置	装置	装置	equipment	equipment	equipment	7349
密度	密度	密度	density	density	density	7022
シミュレーション	シミュレーション	シミュレーション	simulation	simulation	simulation	7022
形成	形成	形成	formation	formation	formation	6917
研究	研究	研究	study	study	study	6864
変化	変化	変化	changes	changes	change	6514
電圧	電圧	電圧	voltage	voltage	voltage	6504
使用	使用	使用	use	use	use	6379
条件	条件	条件	conditions	conditions	condition	6361
過程	過程	過程	process	process	process	6360
改善	改善	改善	improvement	improvement	improvement	6216
プロセス	プロセス	プロセス	process	process	process	6150
管理	管理	管理	management	management	management	6032
問題	問題	問題	problems	problems	problem	5954
概要	概要	概要	outline	outline	outline	5923
材料	材料	材料	material	material	material	5920
酸素	酸素	酸素	oxygen	oxygen	oxygen	5827
実験	実験	実験	experiment	experiment	experiment	5762
金属	金属	金属	metal	metal	metal	5709
効率	効率	効率	efficiency	efficiency	efficiency	5690
画像	画像	画像	image	image	image	5420
材料	材料	材料	materials	materials	material	5395
状態	状態	状態	state	state	state	5336
挙動	挙動	挙動	behavior	behavior	behavior	5279
特性	特性	特性	properties	properties	property	5147
抗体	抗体	抗体	antibody	antibody	antibody	5099
ネットワーク	ネットワーク	ネットワーク	network	network	network	5065
処理	処理	処理	treatment	treatment	treatment	5055
圧力	圧力	圧力	pressure	pressure	pressure	5043
パラメータ	パラメータ	パラメータ	parameters	parameters	parameter	4987
ビーム	ビーム	ビーム	beam	beam	beam	4777
粒子	粒子	粒子	particles	particles	particle	4736
理論	理論	理論	theory	theory	theory	4706
役割	役割	役割	role	role	role	4680
生産	生産	生産	production	production	production	4676
精度	精度	精度	accuracy	accuracy	accuracy	4659
向上	向上	向上	improvement	improvement	improvement	4360
方向	方向	方向	direction	direction	direction	4353
導入	導入	導入	introduction	introduction	introduction	4246
応答	応答	応答	response	response	response	4243
