開発した	開発	開発	developed	developed	develop	21293
検討した	検討	検討	examined	examined	examine	20439
紹介した	紹介	紹介	introduced	introduced	introduce	17886
検討した	検討	検討	examined	examined	examine	17557
開発した	開発	開発	developed	developed	develop	16867
紹介した	紹介	紹介	introduced	introduced	introduce	15188
解説した	解説	解説	explained	explained	explain	13619
測定した	測定	測定	measured	measured	measure	13331
説明した	説明	説明	explained	explained	explain	12292
解説した	解説	解説	explained	explained	explain	11944
提案した	提案	提案	proposed	proposed	propose	11662
説明した	説明	説明	explained	explained	explain	9911
測定した	測定	測定	measured	measured	measure	9578
報告した	報告	報告	reported	reported	report	9441
増加した	増加	増加	increased	increased	increase	9219
概説した	概説	概説	outlined	outlined	outline	9218
提案した	提案	提案	proposed	proposed	propose	9139
報告した	報告	報告	reported	reported	report	8645
概説した	概説	概説	outlined	outlined	outline	8005
減少した	減少	減少	decreased	decreased	decrease	7184
解析した	解析	解析	analyzed	analyzed	analyze	6366
計算した	計算	計算	calculated	calculated	calculate	5423
評価した	評価	評価	evaluated	evaluated	evaluate	5325
検討した	検討	検討	investigated	investigated	investigate	5239
確認した	確認	確認	confirmed	confirmed	confirm	5156
適用した	適用	適用	applied	applied	apply	4974
増加した	増加	増加	increased	increased	increase	4768
研究した	研究	研究	studied	studied	study	4752
検討した	検討	検討	investigated	investigated	investigate	4640
解析した	解析	解析	analyzed	analyzed	analyze	4551
確認した	確認	確認	confirmed	confirmed	confirm	4342
観測した	観測	観測	observed	observed	observe	4229
研究した	研究	研究	studied	studied	study	4222
評価した	評価	評価	evaluated	evaluated	evaluate	4170
改善した	改善	改善	improved	improved	improve	4143
使用した	使用	使用	used	used	use	3975
減少した	減少	減少	decreased	decreased	decrease	3965
計算した	計算	計算	calculated	calculated	calculate	3936
出現した	出現	出現	appeared	appeared	appear	3797
観測した	観測	観測	observed	observed	observe	3644
研究した	研究	研究	investigated	investigated	investigate	3614
比較した	比較	比較	compared	compared	compare	3587
検討した	検討	検討	studied	studied	study	3395
調査した	調査	調査	investigated	investigated	investigate	3342
研究した	研究	研究	investigated	investigated	investigate	3324
導入した	導入	導入	introduced	introduced	introduce	3251
観察した	観察	観察	observed	observed	observe	3237
開発した	開発	開発	have been developed	have been developed	develop	3228
開発した	開発	開発	has been developed	has been developed	develop	3228
開発した	開発	開発	has been developed	has been developed	develop	3228
検討した	検討	検討	studied	studied	study	3014
紹介した	紹介	紹介	presented	presented	present	2966
決定した	決定	決定	determined	determined	determine	2961
適用した	適用	適用	applied	applied	apply	2818
開発した	開発	開発	have been developed	have been developed	develop	2707
開発した	開発	開発	has been developed	has been developed	develop	2707
施行した	施行	施行	performed	performed	perform	2676
開始した	開始	開始	started	started	start	2659
診断した	診断	診断	diagnosed	diagnosed	diagnose	2648
紹介した	紹介	紹介	presented	presented	present	2632
形成した	形成	形成	formed	formed	form	2600
採用した	採用	採用	adopted	adopted	adopt	2527
観察した	観察	観察	observed	observed	observe	2523
改善した	改善	改善	improved	improved	improve	2522
考察した	考察	考察	examined	examined	examine	2467
使用して	使用	使用	using	using	use	2430
観察された	観察	観察	observed	observed	observe	2420
分析した	分析	分析	analyzed	analyzed	analyze	2420
利用して	利用	利用	using	using	use	2412
決定した	決定	決定	determined	determined	determine	2396
